param,value,RMSE,MAE,MAPE
lr,0.0005,79.704025,64.71091,61.984344
lr,0.001,80.499695,65.24299,61.87605
lr,0.002,78.45744,63.050728,62.35548
lr,0.005,78.832985,63.475117,60.22588
seq_len,48,77.76626,62.85713,58.95393
seq_len,72,79.288246,63.254395,56.95291
seq_len,168,80.499695,65.24299,61.87605
seq_len,336,79.64553,64.50337,55.06952
lstm_hidden,64,79.88057,64.68558,61.99779
lstm_hidden,128,80.499695,65.24299,61.87605
lstm_hidden,256,83.089035,66.33894,58.041374
local_epochs,1,77.12905,62.537914,59.951622
local_epochs,3,80.499695,65.24299,61.87605
local_epochs,5,85.08484,67.7993,61.6604
local_epochs,10,77.74077,62.530235,56.436455
fedprox_mu,0.0,79.25698,63.714302,60.579987
fedprox_mu,0.001,79.98384,64.22825,59.21352
fedprox_mu,0.01,80.499695,65.24299,61.87605
fedprox_mu,0.1,82.59399,65.91987,60.961365
fedprox_mu,1.0,85.51238,70.45257,75.279106
n_clusters,2,78.80797,64.14136,61.907593
n_clusters,3,87.0671,69.012955,56.64797
n_clusters,5,83.50325,65.54861,54.39872
n_clusters,8,83.50325,65.54861,54.39872
